,Title,Channel,Duration,Earned,Views,Likes,Uploaded,Subscribers
0,Baby boy greets big sister as she gets off the school bus,Djpresse,00:22,3.71,"2,232,217",222,2022-10-05T10:30:39-04:00,13
1,"Prime Time #99 Alex Stein and Roger Stone Talk Comedy, Big Booty Latinas, Eye Patch McCain",RealRogerStone,19:11,0,"1,806,446",41,2022-10-19T15:29:03-04:00,1.61K
2,Darren Beattie On The Decline Of Fetterman And The Senate As Envisioned By The Founding Fathers,RevolverNews,05:35,0,"1,743,294",34,2022-10-21T19:45:21-04:00,976
3,"🔴LIVE: President Donald J. Trump Holds Save America Rally in Robstown, TX 10/22/22",Right Side Broadcasting Network,13:40:29,0,"1,629,631",17.8K,2022-10-17T17:34:12-04:00,382K
4,Parent Concerned About School Drag Show Dresses in Matching Drag Attire & Confronts School Board,IowaRaw,05:00,0,"873,881",758,2022-10-05T19:27:03-04:00,186
5,Sharyl Attkisson's full interview with FBI whistleblower Steve Friend,Sharyl Attkisson,33:22:00,0,"1,420,204",226,2022-10-24T12:54:14-04:00,8.92K
6,Darren Beattie: CA State Senator Proposes Bill To Allow Parent-Forced Transgender Surgery,RevolverNews,04:29,0,"1,371,762",24,2022-10-18T12:33:32-04:00,976
7,THE DAM OF CENSORSHIP IS BREAKING,TateSpeech,01:31:55,0,"1,708,475",41.9K,2022-10-25T09:42:23-04:00,773K
8,Gabbard Leaves Democrat Party - Gives Dire Warning For All Americans,Explain America,03:51,0,"598,599",26,2022-10-11T20:22:44-04:00,3.06K
9,Biden Gives Brittney Griner Horrific News - Stuck In Russia,Explain America,04:05,0,"587,434",107,2022-10-12T20:03:18-04:00,3.06K
10,Elon Musk Eviscerates Biden - Get Out And Stay Out.,Explain America,03:51,0,"586,540",116,2022-10-10T20:01:59-04:00,3.06K
11,"Justice Thomas Intervenes In Mar-a-Lago Case, Puts Biden DOJ On The Clock",Explain America,04:34,0,"578,594",147,2022-10-05T19:33:21-04:00,3.06K
12,Stacey Abrams Publicly Humiliated On Video - This Could Be The End For Her,Explain America,04:12,0,"574,711",218,2022-10-09T20:45:17-04:00,3.06K
13,Don Lemon Cries Like A Baby As His Final Show Ends,Explain America,04:11,0,"574,420",177,2022-10-08T19:58:16-04:00,3.06K
14,Biden Makes Colossal Mistake Day After Declaring We Are Close To 'Nuclear Armageddon',Explain America,04:15,0,"568,816",72,2022-10-07T20:00:04-04:00,3.06K
15,Pelosi On The Way Out - Dems Already Have a Replacement,Explain America,06:08,0,"568,217",96,2022-10-06T20:07:37-04:00,3.06K
16,Stevewilldoit Saves A Town From A Hurricane,stevewilldoit,20:33,0,"1,159,445",74.1K,2022-10-25T16:44:06-04:00,225K
17,AOC Destroyed At Her Own Town Hall - ‘Because This Is Bullsh*t!’,Explain America,04:24,0,"552,866",48,2022-10-13T21:09:21-04:00,3.06K
18,Elon Musk Bombshell - Would Change The Internet Forever,Explain America,04:17,0,"558,298",89,2022-10-04T19:37:41-04:00,3.06K
19,Democrat Leader Rushed To Hospital - Senate In Jeopardy,Explain America,04:02,0,"551,560",220,2022-10-14T20:19:02-04:00,3.06K
20,DIED SUDDENLY | OFFICIAL TRAILER - Streaming November 21st,Stew Peters Network,04:20,0,"824,184",2.9K,2022-10-26T19:00:00-04:00,440K
21,Watch Kamala Harris Run From Reporter - She Was Terrified Of This Question,Explain America,04:45,0,"526,599",54,2022-10-03T19:37:18-04:00,3.06K
22,The J6 'Pipe-Bomb:' What is the DNC hiding? Darren Beattie with Sebastian Gorka on AMERICA First,AMERICA First with Sebastian Gorka,08:37,0,"992,842",125,2022-10-06T18:04:00-04:00,376K
23,The End Of Acosta? - 'Does Not Have A Place In The New CNN',Explain America,03:57,0,"508,456",130,2022-10-15T20:18:20-04:00,3.06K
24,Ghislaine Maxwell Breaks Silence On 'Special Friendship' With Bill Clinton,Explain America,04:13,0,"490,413",149,2022-10-16T20:50:44-04:00,3.06K
25,Darren Beattie: Elon Musk Should Fire Close 85% of Twitter's Employees,Bannons War Room,04:02,0,"913,263",834,2022-10-27T12:13:08-04:00,809K
26,Internet Shaken - Major Announcement Shifts Power From Liberals,Explain America,04:03,0,"458,448",96,2022-10-17T19:42:58-04:00,3.06K
27,Charlie Kirk: The CATO Institute Deserves No Seat In The Conservative Movement,Bannons War Room,07:26,0,"886,391",427,2022-10-07T12:04:44-04:00,809K
28,Brittney Griner Gets Devastating News - Biden Blew It,Explain America,04:12,0,"428,337",47,2022-10-18T20:22:23-04:00,3.06K
29,Stacey Abrams Makes Downright Evil Comment - Could Mean The End For Her,Explain America,04:59,0,"401,657",67,2022-10-19T20:25:16-04:00,3.06K
30,Jones Analyzes Left's Strategy Of Censoring Political Opponents Instead Of Confronting The Issues,Bannons War Room,11:11,0,"739,649",779,2022-10-18T12:09:34-04:00,809K
31,Ocasio-Cortez Humiliated By Protesters - Her Responses Says Everything,Explain America,05:30,0,"363,860",90,2022-10-20T20:23:46-04:00,3.06K
32,EMERGENCY MEETING EPISODE 6 - Welcome to The Real World,TateSpeech,01:14:01,0,"841,347",30.1K,2022-10-07T11:15:38-04:00,773K
33,Darren Beattie On The DNC Pipe Bomber's Unexplainable Story,RevolverNews,06:17,0,"650,978",38,2022-10-07T18:47:19-04:00,976
34,New Left-Wing Election Integrity Partnership Is The Democrats' Path To Empower Election Fraud 07:21,RevolverNews,07:21,0,"643,053",23,2022-10-07T18:50:30-04:00,976
35,Steve Bannon Gets Big Victory Moments After Judge Sentences Him to 4 Months in Jail,Explain America,04:47,0,"333,754",88,2022-10-21T20:11:48-04:00,3.06K
