,Rank,Channel,Duration,Views,Likes,Uploaded,Subscribers,Duration Seconds
0,1,Djpresse,0:22,2226945,223,2022-10-05T10:30:39-04:00,13,22
1,2,RealRogerStone,19:11,1808459,43,2022-10-19T15:29:03-04:00,1620,1151
2,3,RevolverNews,5:35,1795851,34,2022-10-21T19:45:21-04:00,977,335
3,4,Right Side Broadcasting Network,13:40:29,1629909,17800,2022-10-17T17:34:12-04:00,382000,49229
4,5,IowaRaw,5:00,873936,758,2022-10-05T19:27:03-04:00,186,300
5,6,Sharyl Attkisson,33:22,1484102,226,2022-10-24T12:54:14-04:00,8920,2002
6,7,RevolverNews,4:29,1372222,24,2022-10-18T12:33:32-04:00,977,269
7,8,TateSpeech,1:31:55,1712445,42000,2022-10-25T09:42:23-04:00,773000,5515
8,9,Explain America,4:05,603644,107,2022-10-12T20:03:18-04:00,3070,245
9,10,Explain America,3:51,598617,26,2022-10-11T20:22:44-04:00,3070,231
10,11,Explain America,3:51,586559,116,2022-10-10T20:01:59-04:00,3070,231
11,12,Explain America,4:34,578606,147,2022-10-05T19:33:21-04:00,3070,274
12,13,Explain America,4:12,574718,218,2022-10-09T20:45:17-04:00,3070,252
13,14,Explain America,4:11,574422,177,2022-10-08T19:58:16-04:00,3070,251
14,15,Explain America,4:24,568958,48,2022-10-13T21:09:21-04:00,3070,264
15,16,Explain America,4:15,568830,72,2022-10-07T20:00:04-04:00,3070,255
16,17,Stew Peters Network,4:20,853201,2960,2022-10-26T19:00:00-04:00,440000,260
17,18,Explain America,6:08,568221,96,2022-10-06T20:07:37-04:00,3070,368
18,19,Explain America,4:02,564070,220,2022-10-14T20:19:02-04:00,3070,242
20,21,Explain America,4:17,558298,89,2022-10-04T19:37:41-04:00,3070,257
21,22,Explain America,4:45,526602,54,2022-10-03T19:37:18-04:00,3070,285
22,23,Explain America,3:57,524677,130,2022-10-15T20:18:20-04:00,3070,237
23,24,AMERICA First with Sebastian Gorka,8:37,992904,125,2022-10-06T18:04:00-04:00,376000,517
24,25,Explain America,4:13,506914,149,2022-10-16T20:50:44-04:00,3070,253
25,26,Bannons War Room,4:02,967083,836,2022-10-27T12:13:08-04:00,810000,242
26,27,Explain America,4:03,471149,96,2022-10-17T19:42:58-04:00,3070,243
27,28,Bannons War Room,7:26,886488,427,2022-10-07T12:04:44-04:00,810000,446
28,29,Explain America,4:12,440952,47,2022-10-18T20:22:23-04:00,3070,252
29,30,Explain America,4:59,414131,67,2022-10-19T20:25:16-04:00,3070,299
30,31,Bannons War Room,11:11,739957,780,2022-10-18T12:09:34-04:00,810000,671
31,32,Explain America,5:30,379913,90,2022-10-20T20:23:46-04:00,3070,330
32,33,TateSpeech,1:14:01,842155,30100,2022-10-07T11:15:38-04:00,773000,4441
33,34,Explain America,4:47,347694,88,2022-10-21T20:11:48-04:00,3070,287
34,35,RevolverNews,6:17,651008,38,2022-10-07T18:47:19-04:00,977,377
35,36,RevolverNews,7:21,643084,23,2022-10-07T18:50:30-04:00,977,441
36,37,RevolverNews,12:43,644750,23,2022-10-13T12:19:32-04:00,977,763
37,38,RealAmericasVoice,1:01:14,670375,43,2022-10-18T15:24:13-04:00,55600,3674
38,39,RealRogerStone,25:28,608084,27,2022-10-18T13:58:34-04:00,1620,1528
39,40,HumanEventsMediaGroup,8:23,321953,9,2022-10-07T18:27:16-04:00,294,503
40,41,Explain America,4:12,325065,144,2022-10-22T19:58:14-04:00,3070,252
41,42,HumanEventsMediaGroup,8:40,321304,9,2022-10-07T18:16:51-04:00,294,520
42,43,HumanEventsMediaGroup,5:35,321163,6,2022-10-07T18:19:08-04:00,294,335
43,44,HumanEventsMediaGroup,3:55,322220,6,2022-10-07T18:14:21-04:00,294,235
44,45,HumanEventsMediaGroup,4:21,323911,27,2022-10-07T18:22:02-04:00,294,261
45,46,HumanEventsMediaGroup,3:36,322117,25,2022-10-07T18:21:07-04:00,294,216
46,47,HumanEventsMediaGroup,5:16,320679,6,2022-10-07T18:18:00-04:00,294,316
47,48,HumanEventsMediaGroup,3:19,322121,8,2022-10-07T18:24:44-04:00,294,199
48,49,HumanEventsMediaGroup,2:10,324548,3,2022-10-07T18:11:08-04:00,294,130
49,50,HumanEventsMediaGroup,2:26,325844,28,2022-10-07T18:25:37-04:00,294,146
50,51,HumanEventsMediaGroup,3:55,320250,18,2022-10-07T18:27:45-04:00,294,235
51,52,HumanEventsMediaGroup,2:42,321240,34,2022-10-07T18:12:35-04:00,294,162
52,53,HumanEventsMediaGroup,1:42,322647,6,2022-10-07T18:23:35-04:00,294,102
53,54,HumanEventsMediaGroup,1:19,323833,6,2022-10-07T18:20:04-04:00,294,79
54,55,Explain America,4:18,299637,44,2022-10-23T20:10:57-04:00,3070,258
55,56,Steven Crowder,1:11:29,651162,29000,2022-10-31T08:04:42-04:00,957000,4289
56,57,X22 Report,49:50,372766,12400,2022-10-26T19:27:38-04:00,614000,2990
57,58,Explain America,4:09,270263,110,2022-10-24T20:04:14-04:00,3070,249
58,59,HARPAXO,5:59,527625,82,2022-10-14T04:06:53-04:00,2950,359
59,60,The Gateway Pundit,5:50,339247,1170,2022-10-18T05:03:55-04:00,156000,350
60,61,Donald J. Trump,3:01:40,432928,15400,2022-10-09T08:02:29-04:00,1550000,10900
61,62,X22 Report,41:00,359948,12700,2022-10-20T19:09:16-04:00,614000,2460
62,63,X22 Report,47:37,357697,12600,2022-10-18T19:08:47-04:00,614000,2857
63,64,CayleyWilders,0:46,242730,581,2022-10-03T16:11:04-04:00,51,46
64,65,Sunfellow On COVID-19,3:56,477121,226,2022-10-05T15:06:52-04:00,20800,236
65,66,RevolverNews,49:37,499779,13,2022-10-24T13:26:57-04:00,977,2977
66,67,X22 Report,53:22,344110,13000,2022-10-14T18:29:41-04:00,614000,3202
67,68,Donald J. Trump,2:42:21,402849,14400,2022-10-20T13:54:17-04:00,1550000,9741
68,69,X22 Report,48:35,339244,12100,2022-10-19T19:34:14-04:00,614000,2915
69,70,X22 Report,45:10,328437,11500,2022-10-21T18:07:20-04:00,614000,2710
70,71,Explain America,4:13,243498,46,2022-10-25T19:58:48-04:00,3070,253
71,72,The Post Millennial Clips,3:09,269232,66,2022-10-28T13:37:37-04:00,78900,189
72,73,X22 Report,46:07,329410,12100,2022-10-28T18:57:25-04:00,614000,2767
73,74,The Dan Bongino Show,55:24,515573,15300,2022-10-20T10:09:28-04:00,2470000,3324
74,75,Greg Hunter's USAWatchdog.com,39:29,290149,1370,2022-10-18T22:26:00-04:00,49900,2369
75,76,X22 Report,44:55,313000,11700,2022-10-17T19:03:15-04:00,614000,2695
76,77,X22 Report,57:41,331247,12600,2022-10-23T18:55:13-04:00,614000,3461
77,78,BonginoReport,3:09,245710,2830,2022-10-19T19:01:52-04:00,490000,189
78,79,X22 Report,56:39,320853,12200,2022-10-16T18:49:31-04:00,614000,3399
79,80,RealAmericasVoice,5:20:25,471117,493,2022-10-22T13:09:30-04:00,55600,19225
80,81,X22 Report,54:52,314192,11300,2022-10-25T19:34:07-04:00,614000,3292
81,82,Phil Godlewski 2.0,1:07:34,420541,13400,2022-10-07T20:31:12-04:00,148000,4054
82,83,X22 Report,46:38,324199,12400,2022-10-30T16:37:55-04:00,614000,2798
83,84,X22 Report,45:44,307602,11700,2022-10-12T18:19:26-04:00,614000,2744
84,85,X22 Report,49:56,310404,11200,2022-10-27T19:08:42-04:00,614000,2996
85,86,X22 Report,46:20,318176,12600,2022-10-24T19:05:10-04:00,614000,2780
86,87,BonginoReport,0:33,224448,502,2022-10-14T09:30:26-04:00,490000,33
87,88,Steven Crowder,1:05:17,466676,24100,2022-11-01T08:29:37-04:00,957000,3917
88,89,X22 Report,50:23,298369,11300,2022-10-13T19:33:03-04:00,614000,3023
89,90,Explain America,4:14,218028,41,2022-10-26T20:36:32-04:00,3070,254
90,91,Phil Godlewski 2.0,1:34:32,381131,14500,2022-10-12T20:04:37-04:00,148000,5672
91,92,Greg Hunter's USAWatchdog.com,58:09,261251,1730,2022-10-15T20:53:51-04:00,49900,3489
92,93,JULIE GREEN MINISTRIES,13:18,294544,10000,2022-10-12T06:53:45-04:00,143000,798
93,94,X22 Report,52:29,279681,11300,2022-10-31T19:11:01-04:00,614000,3149
94,95,Phil Godlewski 2.0,1:56:10,389439,8210,2022-10-26T18:40:17-04:00,148000,6970
95,96,The Dan Bongino Show,55:11,290862,15500,2022-10-10T10:35:35-04:00,2470000,3311
96,97,The Dan Bongino Show,57:18,292628,15300,2022-10-21T10:19:59-04:00,2470000,3438
97,98,The Charlie Ward Show,57:00,258210,1780,2022-10-16T17:43:27-04:00,159000,3420
98,99,JULIE GREEN MINISTRIES,37:26,301419,14100,2022-10-07T07:09:47-04:00,143000,2246
99,100,Explain America,3:48,186698,68,2022-10-27T20:34:26-04:00,3070,228
100,101,The Dan Bongino Show,53:36,282091,14900,2022-10-19T10:17:15-04:00,2470000,3216
101,102,Tommy's Garage On BPR TV,49:30,358654,124,2022-10-21T10:53:42-04:00,5910,2970
102,103,Just The News,1:37,197551,218,2022-10-26T20:41:43-04:00,443000,97
103,104,Rekieta Law,5:44:01,521783,12600,2022-10-26T09:31:14-04:00,93400,20641
